time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,16.206289153744265,1.0,5243.925704088844,0.0,-3743.516205826574,0.2,0.00026614364726818663,35346.713584726895,26.225058693534166,0.36936695738722225,11619.544371289707,68.05737270077049
78.35744820787907,1226.0536870570347,15.101826676764182,5587.112670632323,4603.559482206169,0.0,-3434.1629916422644,0.22085433705667298,0.00026614364726818663,35311.35269640098,28.006522260059267,0.3413166796046199,10107.74284287163,74.83642494572686
186.47473375337634,2782.5628915705756,13.718281361871004,14168.082754836572,4043.831921418739,0.0,-3149.525213669898,0.24962906576448762,0.00026614364726818663,35266.6966119938,30.002023814043298,0.3146949914427344,8619.224967312339,84.12913601629744
220.69348496771283,3245.027134149793,13.314309035373201,17093.556926421712,3923.968282828951,0.0,-3080.404890404917,0.25873616901763385,0.00026614364726818663,35253.24355668187,30.51972949254236,0.30867015860161395,8256.627825388623,87.05696409881429
220.69348496771283,3245.027134149793,13.314309035373201,17093.556926421712,3923.968282828951,0.0,-3080.404890404917,0.25873616901763385,0.00026614364726818663,35253.24355668187,30.51972949254236,0.30867015860161395,8256.627825388623,87.05696409881429
380.72166594164815,5237.0902812338145,11.641536111280779,32103.76554990074,3617.480291693925,0.0,-2871.9246905616087,0.3013266527677304,0.00026614364726818663,35193.423242364275,32.42589445584405,0.29150699832494703,7055.634652228023,100.67494424141351
601.5278934719842,7604.946378434846,9.91899652520425,56381.560253488795,3567.75933804131,0.0,-2768.5977467028238,0.36009282750218313,0.00026614364726818663,35115.45610641503,34.383231194269165,0.28578231924664826,6225.833301221352,119.2894955279407
671.412309532885,8283.626663116422,9.51527570013652,64919.96890967225,3616.8650582536206,0.0,-2775.3869894111567,0.3786921208798387,0.00026614364726818663,35091.04146318017,34.76375630211192,0.2881786650504797,6103.610442998566,125.14199153083482
671.412309532885,8283.626663116422,9.51527570013652,64919.96890967225,3616.8650582536206,0.0,-2775.3869894111567,0.3786921208798387,0.00026614364726818663,35091.04146318017,34.76375630211192,0.2881786650504797,6103.610442998566,125.14199153083482
861.6699834133268,10014.216008371977,8.760801352365474,90232.75518949781,3836.270977516914,0.0,-2854.976496741275,0.4293279921271407,0.00026614364726818663,35023.64076985288,35.469709417870384,0.3012974014971498,5986.898233107665,140.9778557035328
1124.186741227875,12265.072027014392,8.547441136388432,130074.8965716967,4253.231508094213,0.0,-3034.682576364666,0.49919515952092375,0.00026614364726818663,34926.45901634739,34.935298937645435,0.286985735572394,6167.783443664959,162.55370936447744
