time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.00011935592464130699,7.571817103405659,1.0,4613.329192906589,0.0,-2641.0868231138265,0.2,8.738985015065994e-05,32982.997292695334,28.694673612368707,0.25419327284403836,7299.666344519158,68.05737267284637
143.18141308666944,1063.6835790753512,7.2917198060202715,10026.429303779481,4304.797216721762,0.0,-2530.290307912258,0.2125126022340038,8.738985015065994e-05,32936.38196538388,29.58519774834556,0.24581085837672415,6764.029937416797,72.05035016802063
340.74253940653654,2470.5375376300017,6.961335350796523,24795.878372204174,3979.7735193165136,0.0,-2412.2650896264363,0.22977743945869258,8.738985015065994e-05,32874.95012100887,30.61761253419485,0.23677065324434476,6181.368127919248,77.52342416346949
403.26996041100494,2902.93247993337,6.870320752951359,29695.34624769118,3896.8078907386366,0.0,-2382.0520866711963,0.23524170141058032,8.738985015065994e-05,32856.06218799803,30.893555325783222,0.2346876503246539,6028.33420551817,79.24691269538374
403.26996041100494,2902.93247993337,6.870320752951359,29695.34624769118,3896.8078907386366,0.0,-2382.0520866711963,0.23524170141058032,8.738985015065994e-05,32856.06218799803,30.893555325783222,0.2346876503246539,6028.33420551817,79.24691269538374
695.6871027450677,4858.872114240352,6.531164968437612,54033.78272822269,3607.4686365952225,0.0,-2271.2200880915125,0.26079599166063827,8.738985015065994e-05,32770.483141575874,31.92146782416906,0.2289821045425266,5471.223451387019,87.25080400637366
1099.163075983195,7437.710259636895,6.297157423714435,91431.1179221544,3401.8871451736786,0.0,-2194.872272487509,0.29605569650130986,8.738985015065994e-05,32657.337963227135,32.71380632623666,0.23019330405899252,5022.711613355056,98.13507263500709
1226.861841999549,8240.440216562612,6.279614841434485,104178.1747949712,3369.3735767079825,0.0,-2180.818912119708,0.30721527252790326,8.738985015065994e-05,32622.080512808723,32.86941202070552,0.23223105545716663,4936.903168786432,101.53783457293888
1226.861841999549,8240.440216562612,6.279614841434485,104178.1747949712,3369.3735767079825,0.0,-2180.818912119708,0.30721527252790326,8.738985015065994e-05,32622.080512808723,32.86941202070552,0.23223105545716663,4936.903168786432,101.53783457293888
1574.5168922828886,10433.379357142774,6.369558891857344,141068.13803034692,3333.939678520904,0.0,-2153.7546723210744,0.33759679527628444,8.738985015065994e-05,32527.128537703735,32.88120190629577,0.23158702368800752,4801.266847684166,110.68469927183968
2054.209904274548,13582.565572695044,6.824359921975658,197116.88845948098,3312.505309619657,0.0,-2108.9585671696423,0.37951709571255426,8.738985015065994e-05,32398.26467605439,31.227153723803845,0.16636355576250705,4726.920710494439,122.97076475864951
2206.0311024648313,14635.153398298236,7.048193114230182,216073.27095188943,3314.3342786202406,0.0,-2109.0241736513894,0.39278472747209675,8.738985015065994e-05,32358.07324495576,30.482434963614153,0.1402941140854798,4728.481998633093,126.76148446897969
2206.0311024648313,14635.153398298236,7.048193114230182,216073.27095188943,3314.3342786202406,0.0,-2109.0241736513894,0.39278472747209675,8.738985015065994e-05,32358.07324495576,30.482434963614153,0.1402941140854798,4728.481998633093,126.76148446897969
2498.4482447988944,16771.5523574463,7.587552154329402,254185.18545984087,3324.9364506128577,0.0,-2130.038346431422,0.41833901772215476,8.738985015065994e-05,32279.970484751753,28.782675060418782,0.1539190711242946,4757.041703646787,133.9031102319951
2901.924218037022,20021.158318137328,8.565715760160378,310124.3726400242,3341.4026749477853,0.0,-2153.589191252189,0.45359872256282635,8.738985015065994e-05,32171.0590279996,25.49120865560816,0.20787996740537376,4832.91773555043,143.34756493404592
3029.6229840533756,21138.076064929486,8.931821202530045,328611.5909728111,3342.444405005757,0.0,-2160.1836268207917,0.46475829858941975,8.738985015065994e-05,32136.357726285893,24.352419910171783,0.22838728243133394,4860.179718980331,146.22021871726025
3029.6229840533756,21138.076064929486,8.931821202530045,328611.5909728111,3342.444405005757,0.0,-2160.1836268207917,0.46475829858941975,8.738985015065994e-05,32136.357726285893,24.352419910171783,0.22838728243133394,4860.179718980331,146.22021871726025
3172.804397140045,22448.240360940134,9.374632367342892,349770.0324961711,3340.2799306724273,0.0,-2165.857502449619,0.4772709008234235,8.738985015065994e-05,32097.331788061016,23.002949046663627,0.2540316536658419,4891.328049052041,149.36512529743732
3370.365523459912,24365.127137202635,10.041714042248726,379690.23957164935,3331.547500500538,0.0,-2169.789544819295,0.49453573804811224,8.738985015065994e-05,32043.36011958104,21.021923924079374,0.2949459634315173,4935.06592644258,153.56050226061112
3432.8929444643804,24999.99999999946,10.26639406418079,389330.5525118,3327.580952760662,0.0,-2169.923106716018,0.5,8.738985015065994e-05,32026.26431120358,20.36759234118447,0.30948362816725256,4949.231998603219,154.85072856494878
3432.8929444643804,24999.999999999323,-0.977137404324044,389330.5525118,3327.5809527605957,0.0,-1598.8735145967953,0.4999999999999736,2.0915337591944062e-18,32026.26431120358,20.36759234118374,0.15117596073798265,3191.7815404991475,154.8507285649407
3872.1399633523733,24578.410621079183,-0.9424620739429418,457407.83596281894,3333.834153785466,0.0,-1613.1730001477742,0.49999999999997446,2.0915337591944062e-18,31937.381786869464,21.00570746946479,0.146529485965675,3203.444714824272,155.120786322099
4478.211197833263,24021.712416226637,-0.8946080104055177,551530.7599187188,3346.4624006231506,0.0,-1633.4489479809974,0.49999999999997574,2.0915337591944062e-18,31813.423814486458,21.851446257318745,0.1410645997200005,3223.4561637191823,155.47668881406082
4670.030671345111,23851.56198949652,-0.8794601439981264,581364.6184861383,3351.30496169343,0.0,-1639.965662823225,0.49999999999997613,2.0915337591944062e-18,31773.866230671447,22.110867885846453,0.13953839912381166,3230.6161919039537,155.5853089477652
4670.030671345111,23851.56198949652,-0.8794601439981264,581364.6184861383,3351.30496169343,0.0,-1639.965662823225,0.49999999999997613,2.0915337591944062e-18,31773.866230671447,22.110867885846453,0.13953839912381166,3230.6161919039537,155.5853089477652
5645.31007741312,23031.405081377918,-0.80242642411256,733362.3752709649,3369.354871551476,0.0,-1669.5971708574261,0.4999999999999782,2.0915337591944062e-18,31570.502107633696,23.395828302830026,0.13210290972045682,3260.308502409145,156.10784292209246
