time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,5.349872046541518,1.0,6082.890076844393,0.0,-2934.841370584387,0.2,0.000278251522541777,32087.755177327035,28.080681375132045,0.28515697930371037,8460.863122882913,68.05737270077049
74.9477913585967,337.865266535332,3.713278801254064,5363.293606352016,4850.640970530593,0.0,-2548.665323588454,0.22085433705667298,0.000278251522541777,32061.970803505174,31.312208666802803,0.2394659486933119,6598.061548572458,75.06649224694966
178.36044637288998,624.4719656891355,1.9194285469592194,13626.77519513834,3843.9329211974095,0.0,-2238.4830086101006,0.24962906576448762,0.000278251522541777,32031.063422488587,35.216829842420346,0.19647928399787523,5011.68555862189,84.76294790426807
211.0901981095722,679.6918124604468,1.4638508992594923,16451.295658035782,3653.505980230758,0.0,-2180.1072456670963,0.25873616901763385,0.000278251522541777,32021.93258640621,36.305932880093195,0.18799371516209343,4692.132350666883,87.83856616883287
211.0901981095722,679.6918124604468,1.4638508992594923,16451.295658035782,3653.505980230758,0.0,-2180.1072456670963,0.25873616901763385,0.000278251522541777,32021.93258640621,36.305932880093195,0.18799371516209343,4692.132350666883,87.83856616883287
364.1548906619804,780.4417540011457,0.04917846886145152,30999.63828881213,3281.122831060971,0.0,-2106.761387185137,0.3013266527677304,0.000278251522541777,31980.907768936122,40.648386908767094,0.17118091830920595,3970.377983700938,102.26204639352113
575.3529254386975,749.68462940622,0.03383970128714179,54703.48741442238,3439.897347238043,0.0,-2325.402404804492,0.36009282750218313,0.000278251522541777,31922.759158449386,45.55367312437448,0.1838837133478397,4123.594680062859,122.21867217655155
642.1963813441835,766.167718777261,0.4968369462159282,63084.502393480274,3543.1679473533836,0.0,-2444.079343293435,0.3786921208798387,0.000278251522541777,31902.58359415339,46.77329742145118,0.1929813456802005,4303.330342115777,128.5241155317667
642.1963813441835,766.167718777261,0.4968369462159282,63084.502393480274,3543.1679473533836,0.0,-2444.079343293435,0.3786921208798387,0.000278251522541777,31902.58359415339,46.77329742145118,0.1929813456802005,4303.330342115777,128.5241155317667
824.1751564637318,1049.7033971337373,2.8971849582141522,88029.84170476999,4004.3832578826623,0.0,-2897.6004077490265,0.4293279921271407,0.000278251522541777,31841.519496789744,49.15418117339556,0.2312028024995179,5105.566208173609,145.56656509892946
