time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0002345924349721437,5.49373202037613,1.0,4613.329206865368,0.0,-2476.642740114164,0.2,9.312205289906784e-05,32982.99728339304,28.694673521005704,0.23530018410769973,6637.380972072353,68.05737264588602
134.3677662214536,709.7173165781751,5.080584309869639,9417.506274954401,4263.220370082211,0.0,-2363.423041323591,0.2125126022340038,9.312205289906784e-05,32942.06037791786,29.897633645573578,0.22283301209022563,6056.318795871104,72.13860589575103
319.7678587580906,1606.5611262930581,4.614123376218678,23310.39382108467,3899.519304926753,0.0,-2247.1908335316325,0.22977743945869258,9.312205289906784e-05,32888.29871468195,31.414479612242125,0.21004408369756802,5443.922659713554,77.7572513075974
378.44635414962016,1873.6549393148334,4.4915175992946015,27924.443036706056,3808.572165598808,0.0,-2218.858670017363,0.23524170141058032,9.312205289906784e-05,32871.787589973275,31.860769967077946,0.20694393096085295,5288.675755011565,79.53244036969967
378.44635414962016,1873.6549393148334,4.4915175992946015,27924.443036706056,3808.572165598808,0.0,-2218.858670017363,0.23524170141058032,9.312205289906784e-05,32871.787589973275,31.860769967077946,0.20694393096085295,5288.675755011565,79.53244036969967
652.8635244600241,3043.4296260002898,4.07786770765595,50883.879678536345,3506.8616404299282,0.0,-2132.3687500076376,0.26079599166063827,9.312205289906784e-05,32796.7362495552,33.6790363281528,0.19793738873643163,4761.47178738069,87.81220439927537
1031.5032101517534,4545.41272112931,3.9392171890489363,86280.89381907026,3343.419679744317,0.0,-2111.262811387616,0.29605569650130986,9.312205289906784e-05,32695.962363485487,35.54357985350989,0.19784558698682578,4445.497689209059,99.15744775074745
1151.3413760767344,5020.605479036701,3.9997226537534396,98376.96328448302,3336.0669611079356,0.0,-2121.3063979732765,0.30721527252790326,9.312205289906784e-05,32663.969399805643,36.034819143265004,0.2001404850916587,4419.354370698721,102.72153464897144
1151.3413760767344,5020.605479036701,3.9997226537534396,98376.96328448302,3336.0669611079356,0.0,-2121.3063979732765,0.30721527252790326,9.312205289906784e-05,32663.969399805643,36.034819143265004,0.2001404850916587,4419.354370698721,102.72153464897144
1477.5962405534744,6383.7789084230935,4.418772915285376,133460.89947120773,3318.9718366903057,0.0,-2164.134699507291,0.33759679527628444,9.312205289906784e-05,32576.027859201597,37.16281366633704,0.20872285330484183,4406.979251335532,112.33109313457588
