time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.06137229614163601,0.82537928102891,0.06600374847363591,,,,,,0.0,,,0.02123794714537133,,9.977856031150891e-05,153450.0,153449.97876205287,0.0,0.956,3698.4061829613647,0.066
14.202041028867287,0.06138539000469786,0.8259366310896128,50.853256462550426,,,,,,355.05102572168215,,,12615.545582495672,,0.0768754022964615,153450.0,140834.45441750434,0.0,0.956,3369.6973898312845,50.85036841307509
33.797958971132715,0.06042174543468703,0.8285855287129879,120.92929938308845,,,,,,844.9489742783178,,,71568.54517548633,,0.18281009292591358,153450.0,81881.45482451367,0.0,0.9559999999999998,2920.7367964217,120.92243158692492
40.0,0.06018804549401822,0.8299076786046199,143.1081273723833,,,,,,1000.0,,,100387.61861708917,,0.21633806031177158,153450.0,53062.381382910826,0.0,0.956,2780.105214868845,143.1
40.0,0.05549716990724602,0.629640401833611,143.1081273723833,,,,0.0,,1000.0,,,76162.80961691955,,0.21633806031177158,153450.0,77384.21465585937,-2.0,0.956,2780.105214868845,143.1
41.775255128608414,0.05736772228640261,0.7191443210814807,145.49362002892752,,,,0.015492023528566075,,3793.856363824555,,,89913.67033648412,,0.21994423463380622,153450.0,63590.007765237235,-1.1123724356957947,0.956,2765.0108885133172,145.48535718005178
44.22474487139159,0.06044411303307829,0.8414360234680738,148.92310043529082,,,,0.036867854031263816,,3950.441378295445,,,110221.67614066055,,0.22512861621025773,153450.0,43222.943492625316,0.11237243569579469,0.9559999999999998,2743.3106764663326,148.91464281994823
45.0,0.061534920179885856,0.8798491625949258,150.00851925826342,,,,0.04363323129985824,,4000.0,,,116939.66485716117,,0.22676945525342931,153450.0,36486.455479057906,0.5,0.956,2736.4426335480553,150.0
45.0,0.06153491536188471,0.8798491625949258,150.00851925826342,,0.0,,0.04363323129985824,,4000.0,0.0,,116939.66485716117,0.762225770745794,0.22676945525342931,153450.0,36486.455479057906,0.5,0.956,2736.4426335480553,150.0
47.21906891076051,0.06777534742403712,0.8583070156787704,153.01599266882218,,44.38137821521026,,0.04208402894700163,,4532.576538582523,0.012393618822852859,,118696.54617016933,0.7737059959784524,0.23150146983820197,153450.0,34733.9330007193,1.1213392950129437,0.956,2719.7700142099893,153.10669647506472
50.28093108923949,0.06850201963246186,0.8433822786189134,157.15912574791187,,105.61862178478972,,0.03994644589673185,,5267.423461417477,0.029494283225011048,,123034.08712365724,0.802223642904496,0.2380330646533532,153450.0,30402.321773999174,1.978660704987056,0.9559999999999997,2696.7331571087016,157.39330352493528
51.25,0.06813495131785269,0.8394785549987958,158.4688277138698,,125.0,,0.039269908169872414,,5500.0,0.03490658503988659,,124514.25322817873,0.8120032073510516,0.24010086753483226,153450.0,28924.011938059448,2.25,0.9559999999999997,2689.434325191819,158.75
51.25,0.06813495131785269,0.8394785549987958,158.4688277138698,,125.0,,0.039269908169872414,,5500.0,0.03490658503988659,,124514.25322817873,0.8120032073510516,0.24010086753483226,153450.0,28924.011938059448,2.25,0.956,2689.4343251918194,158.75
53.46906891076051,0.058239768840325515,0.8309366194434114,161.46504156340256,,169.38137821521028,,0.03772070581701581,,6032.576538582523,0.04730020386273945,,127951.88482661771,0.8348170875237841,0.24483696799682922,153450.0,25490.593863825434,2.8713392950129437,0.956,2672.70671010765,161.85669647506472
56.53093108923949,0.047272280789467054,0.8194998469152455,165.59264915293184,,230.61862178478972,,0.03558312276674603,,6767.423461417477,0.06440086826489765,,132725.0068468294,0.8667482324256273,0.2513742050627168,153450.0,20723.20051554067,3.728660704987056,0.9559999999999998,2649.723282981514,166.14330352493528
57.5,0.04701068317709599,0.8158758972641753,166.89743988548506,,250.0,,0.03490658503988659,,7000.0,0.06981317007977318,,134228.65072380158,0.8768747045190117,0.253443794803332,153450.0,19221.349276198423,4.0,0.956,2642.5952508772884,167.5
57.5,0.04701068317709599,0.8158758972641753,166.89743988548506,,250.0,,0.03490658503988659,,7000.0,0.06981317007977318,,134228.65072380158,0.8768747045190117,0.253443794803332,153450.0,19221.349276198423,4.0,0.956,2642.5952508772884,167.5
59.71906891076051,0.04655900876009214,0.8075693973323516,169.8824121263437,,294.38137821521025,,0.033357382687029986,,7532.576538582523,0.08220678890262605,,137657.05124196294,0.9000939873967001,0.25818398899552936,153450.0,15797.017362922385,4.621339295012945,0.956,2626.2589294946256,170.60669647506472
