time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,1.4223958167301412e-11,55.62908671630879,1.0,8315.89822441672,0.0,-8824.572685238762,0.2,0.00022243381224803255,36815.0673510057,22.602495294490613,0.8371472292319708,29163.297186637123,68.05737270077049
75.0041977733803,3926.885186280244,49.14872061938187,5143.065953393749,8105.09103710507,0.0,-7777.872738062745,0.2166834696453384,0.00022243381224803255,36736.73981470554,21.44332103808179,0.8065241808987329,25403.153661774304,72.73248859213001
178.49468212736286,8578.066513985355,40.86448598339501,12872.255136150101,7792.792115525768,0.0,-6588.1682089494825,0.2397032526115901,0.00022243381224803255,36643.39694970328,19.961658130180794,0.7643753559981427,21114.128494439086,79.12695919249812
211.24906658395264,9876.010051413767,38.40135722253242,15466.748862261964,7683.348030364051,0.0,-6253.171178891591,0.24698893521410706,0.00022243381224803255,36616.86795834768,19.54616841170856,0.7504237744438986,19929.291411944858,81.14475876787604
211.24906658395264,9876.010051413767,38.40135722253242,15466.748862261964,7683.348030364051,0.0,-6253.171178891591,0.24698893521410706,0.00022243381224803255,36616.86795834768,19.54616841170856,0.7504237744438986,19929.291411944858,81.14475876787604
364.4289570678853,14932.385011502716,27.89575034443932,28526.08186980101,7085.463321422852,0.0,-4808.030290690566,0.28106132221418434,0.00022243381224803255,36510.64838787703,17.181830206572386,0.6664881242629261,15227.812842154615,90.60258461854156
575.7859414778758,19530.220682381077,16.141905860615292,49026.4542473041,6066.310550674996,0.0,-3347.8210152149563,0.3280742620017465,0.00022243381224803255,36403.424701669785,14.587061602151653,0.4342386120447485,10443.805482000738,103.88126049241849
642.6797043988324,20505.967814058986,13.084210391831206,56110.432456466,5725.33452466235,0.0,-3025.859716053519,0.342953696703871,0.00022243381224803255,36376.65540640334,14.422102193738832,0.3764003558871078,9255.758966289588,108.17198210406123
642.6797043988324,20505.967814058986,13.084210391831206,56110.432456466,5725.33452466235,0.0,-3025.859716053519,0.342953696703871,0.00022243381224803255,36376.65540640334,14.422102193738832,0.3764003558871078,9255.758966289588,108.17198210406123
824.7954384612012,22241.921441505496,6.373488163744296,76884.23187940686,4855.326992415103,0.0,-2416.0182062575827,0.38346239370171253,0.00022243381224803255,36314.729623504,14.889617012245417,0.3212650738979673,6719.015848835359,120.10749753587345
