time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,6.442289515467027e-05,9.11552716947807,1.0,4613.329184397471,0.0,-2772.305935584423,0.2,9.375612480470379e-05,32982.997289861596,28.69467366398062,0.2680246504263414,7818.453938751522,68.05737268569833
133.45903811689985,1215.011878277664,9.093457393209794,9340.863107548492,4323.661150881512,0.0,-2676.8479787764877,0.2125126022340038,9.375612480470379e-05,32937.20587937589,29.447801287451853,0.2628632558329863,7353.745691272089,72.01258682856243
317.6052713432821,2887.4464144895164,9.072596543408068,23090.309876712196,4022.3283951849025,0.0,-2573.083617859792,0.22977743945869258,9.375612480470379e-05,32876.3640454942,30.21694297122029,0.2587680271210399,6844.97554095631,77.41034597703684
375.88692455015155,3416.0820492917182,9.068311149891109,27648.462318557653,3945.8887782865127,0.0,-2545.8282400828534,0.23524170141058032,9.375612480470379e-05,32857.5667570615,30.39692832446555,0.2581129286897748,6709.8836315429635,79.10415830136048
375.88692455015155,3416.0820492917182,9.068311149891109,27648.462318557653,3945.8887782865127,0.0,-2545.8282400828534,0.23524170141058032,9.375612480470379e-05,32857.5667570615,30.39692832446555,0.2581129286897748,6709.8836315429635,79.10415830136048
648.4482137809953,5886.483246455699,9.063057543071693,50266.9685101411,3678.607344790868,0.0,-2442.281341261898,0.26079599166063827,9.375612480470379e-05,32771.998929144705,30.914136783834568,0.258229457404523,6204.735970761193,86.93151541474178
1024.527162373617,9299.613703603165,9.095811715517796,84935.8395690304,3476.742147547307,0.0,-2347.1400605422436,0.29605569650130986,9.375612480470379e-05,32658.744062868835,30.84041961032953,0.265545639466376,5751.291905732337,97.4713804564324
1143.5548637620757,10383.413272379563,9.115842307546906,96728.08868160742,3438.849204350406,0.0,-2314.5623109290473,0.30721527252790326,9.375612480470379e-05,32623.68980211286,30.568199763381337,0.2615651089340057,5647.991114527619,100.7424108052887
1143.5548637620757,10383.413272379563,9.115842307546906,96728.08868160742,3438.849204350406,0.0,-2314.5623109290473,0.30721527252790326,9.375612480470379e-05,32623.68980211286,30.568199763381337,0.2615651089340057,5647.991114527619,100.7424108052887
1467.6032692573606,13349.107873447676,9.193919836169318,130784.6814112374,3375.0853099686424,0.0,-2212.0565865484587,0.33759679527628444,9.375612480470379e-05,32531.422456316322,28.85915624574563,0.20032233686799616,5433.147492418124,109.48444645702789
1914.723929625852,17494.181661657465,9.358194669089267,182344.5105372039,3341.9856200248387,0.0,-2139.143016632825,0.37951709571255426,9.375612480470379e-05,32409.230546298895,25.627983495394986,0.16300052398325632,5242.449804062511,121.1358996723711
2056.2360898946267,18823.04785580235,9.423847030052585,199736.45869753335,3338.0451092357935,0.0,-2133.6566908343098,0.39278472747209675,9.375612480470379e-05,32371.15912194779,24.41787902325777,0.19163150496137646,5198.314386607068,124.71921279385204
