time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,64.04227323490082,1.0,8315.89822446854,0.0,-9838.201458860902,0.2,0.00022235412693645445,36815.067351105696,22.602495294385783,0.9186882739735004,32221.232450529962,68.05737270077049
75.03107711648755,4546.58087130564,57.21367865222253,5091.204153934369,8347.50196701755,0.0,-8785.857334022276,0.2166834696453384,0.00022235412693645445,36727.15573682646,20.791261126118105,0.9068206461775651,28418.70082986658,72.57313758697397
178.5586494778066,10008.385138611739,48.42219343914935,12743.725567227963,8360.334630571608,0.0,-7588.18376084615,0.2397032526115901,0.00022235412693645445,36620.68275850712,18.385109200240663,0.8922615999475011,24099.679757690494,78.71272754761819
211.3247721619118,11551.702956598028,45.79205534879789,15311.357361550663,8349.264342193404,0.0,-7250.901235106301,0.24698893521410706,0.00022235412693645445,36590.02102288754,17.66621636770596,0.8874971482279875,22908.18083860238,80.64225008853599
211.3247721619118,11551.702956598028,45.79205534879789,15311.357361550663,8349.264342193404,0.0,-7250.901235106301,0.24698893521410706,0.00022235412693645445,36590.02102288754,17.66621636770596,0.8874971482279875,22908.18083860238,80.64225008853599
364.55955790445233,17680.267181906962,34.4641398326272,28219.86394545478,8157.674155547312,0.0,-5659.018960474411,0.28106132221418434,0.00022235412693645445,36465.81581356374,13.433679951743771,0.8846609141851796,18159.60094925635,89.64522215546332
575.992286567041,23539.05414011004,21.46403686524359,48420.97453374964,7468.380966082837,0.0,-3893.5517404859875,0.3280742620017465,0.00022235412693645445,36339.68474658584,8.370001823046653,0.8677814222652313,13161.963291331642,102.21784461372654
642.9100222849698,24857.268426795712,17.98493457869055,55382.59883542791,7160.785219786158,0.0,-3548.592631392641,0.342953696703871,0.00022235412693645445,36308.80812207671,7.6160896287394,0.8271434748352484,11852.122444674113,106.27600718061815
642.9100222849698,24857.268426795712,17.98493457869055,55382.59883542791,7160.785219786158,0.0,-3548.592631392641,0.342953696703871,0.00022235412693645445,36308.80812207671,7.6160896287394,0.8271434748352484,11852.122444674113,106.27600718061815
825.0910213784491,27377.631832885898,10.061238985011705,75752.43127557146,6202.434532678081,0.0,-2845.148268440747,0.38346239370171253,0.00022235412693645445,36235.80391252255,6.8386277289852435,0.7364482443895738,8841.33850147908,117.58413228597084
1076.4636164596284,28909.562902418267,2.8457769819305674,107335.15851766586,4917.907782052507,0.0,-2199.056283814835,0.43935612761673903,0.00022235412693645445,36156.91607349659,8.650999700273868,0.5390236740447057,5985.090085628395,133.84890055587402
1156.0221833417513,29077.98929691076,1.4602167655497797,118193.94512922937,4590.56408429382,0.0,-2074.785147565692,0.457046303296129,0.00022235412693645445,36135.53573342265,9.681859138793442,0.4686471309740142,5395.290309154145,139.13782710428325
1156.0221833417513,29077.98929691076,1.4602167655497797,118193.94512922937,4590.56408429382,0.0,-2074.785147565692,0.457046303296129,0.00022235412693645445,36135.53573342265,9.681859138793442,0.4686471309740142,5395.290309154145,139.13782710428325
1309.256969084292,29170.052960333585,0.008377641878527077,140304.34694828096,4120.669037920082,0.0,-1954.2491000911639,0.4911186902962063,0.00022235412693645445,36096.84373421316,11.831365777186011,0.373009081846964,4671.1164113066225,149.45145815378507
1520.6896977468807,29184.357792448594,0.6352443604428641,173413.30658596213,3832.0046308667443,0.0,-1994.8642953887752,0.5381316300837684,0.00022235412693645445,36044.77412166387,13.551831216533161,0.35210582132290447,4474.229610861255,163.74784083351318
1587.6074334648097,29253.060840622173,1.4690313878981422,184522.80584575798,3792.384511675982,0.0,-2049.5390466732106,0.553011064785893,0.00022235412693645445,36027.70639510302,13.862584257607757,0.3639695938309319,4551.634723229151,168.22592731118482
1587.6074334648097,29253.060840622173,1.4690313878981422,184522.80584575798,3792.384511675982,0.0,-2049.5390466732106,0.553011064785893,0.00022235412693645445,36027.70639510302,13.862584257607757,0.3639695938309319,4551.634723229151,168.22592731118482
1662.638510581297,29409.584612298844,2.7672196407848224,197331.521374437,3762.6200319278796,0.0,-2129.2873628184643,0.5696945344312313,0.00022235412693645445,36007.96758977914,14.084793282969406,0.3858876101084033,4696.411109903301,173.18464136813353
1766.166082942616,29815.122101567897,5.189036040954814,215608.03046398476,3746.8641638915433,0.0,-2268.481607018202,0.5927143173974829,0.00022235412693645445,35979.32154016335,14.093954624713138,0.43285386416632393,4990.132255520164,179.86842695486578
1798.9322056267213,30000.0,6.107869572106146,221535.43822909295,3747.5544187127325,0.0,-2321.545254608128,0.6,0.00022235412693645445,35969.85188663102,14.008769933500092,0.45229072046765334,5104.213068595867,181.93423502864752
1798.9322056267213,30000.0,-1.0072585337714675,221535.43822909295,3747.5544187127325,0.0,-1798.8588285753005,0.6,3.579692494248516e-20,35969.85188663102,14.008769933500092,0.28038963937779593,3613.736460961818,181.93423502864752
2240.467082813543,29563.17439009885,-0.9714101086111632,301941.78831446584,3733.7805427516796,0.0,-1808.3133546591666,0.5999999999999999,7.159384988497032e-20,35869.51899279229,14.602674421188105,0.27052814294276933,3605.3271684230513,182.277001532039
2849.6950947883333,28986.431439538537,-0.9219465140003732,413128.7238459241,3723.06521299014,0.0,-1823.1417573243984,0.6,3.579692494248516e-20,35730.15436039206,15.380532352933786,0.25898073287807927,3601.9263977870955,182.72859665355483
3042.513677583751,28810.172314213498,-0.9062914349741719,448375.47409517,3722.785683664137,0.0,-1828.6702202932188,0.6,7.159384988497032e-20,35685.79979604123,15.613935961637136,0.25590941892574,3603.9413247261436,182.86641869450594
3042.513677583751,28810.172314213498,-0.9062914349741719,448375.47409517,3722.785683664137,0.0,-1828.6702202932188,0.6,7.159384988497032e-20,35685.79979604123,15.613935961637136,0.25590941892574,3603.9413247261436,182.86641869450594
4022.872915698198,27960.697558402295,-0.8266952132216048,627980.1389832867,3733.316601519184,0.0,-1859.2723395095136,0.6,0.0,35458.02576867878,16.72991858303603,0.2430868264386144,3625.990878712615,183.5292855173194
5375.568570145606,26916.711705481255,-0.7168682556706873,876801.3879834164,3759.5567397787077,0.0,-1901.3662877251732,0.6000000000000001,3.579692494248516e-20,35137.5480360572,18.1197333302138,0.23008324939230226,3667.7363279089645,184.3405109297611
5803.692119814003,26617.244299659924,-0.6821082982877971,955771.8910281158,3764.3450034023776,0.0,-1912.490988854874,0.6000000000000001,8.94923123562129e-21,35034.624736661004,18.537280098105516,0.22633370481491766,3677.342275382667,184.5725678440727
5803.692119814003,26617.244299659924,-0.6821082982877971,955771.8910281158,3764.3450034023776,0.0,-1912.490988854874,0.6000000000000001,8.94923123562129e-21,35034.624736661004,18.537280098105516,0.22633370481491766,3677.342275382667,184.5725678440727
