time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0008341466674143857,13.974327662785683,1.0,5928.598253814247,0.0,-3698.0603805580713,0.2,0.00010912728080827037,37708.547631626156,24.02196913758481,0.3647475113579407,11446.28773293748,68.05737250561633
114.66062510975254,1561.4705265486764,13.271986774074065,8013.507510014565,5576.577575753839,0.0,-3492.3629381034557,0.2125126022340038,0.00010912728080827037,37656.73243490949,24.435751666768372,0.3534996745554901,10558.441051370299,71.92605694067586
272.86888519663216,3590.8002370698887,12.400846304223013,19796.87094609955,5182.842821840288,0.0,-3261.0819280498754,0.22977743945869258,0.00010912728080827037,37589.571567414496,24.826345264055057,0.3417308675349077,9549.169537273612,77.21916190812591
322.9412585886539,4205.382177396665,12.148795424315853,23700.829885409607,5076.509072451883,0.0,-3198.5808548181535,0.23524170141058032,0.00010912728080827037,37569.19970801461,24.91623739909831,0.33874993921892127,9273.56561712106,78.88408647604268
322.9412585886539,4205.382177396665,12.148795424315853,23700.829885409607,5076.509072451883,0.0,-3198.5808548181535,0.23524170141058032,0.00010912728080827037,37569.19970801461,24.91623739909831,0.33874993921892127,9273.56561712106,78.88408647604268
557.1108453389661,6925.07337134734,11.121065289315293,43062.37921065913,4671.026976897758,0.0,-2958.7266473270993,0.26079599166063827,0.00010912728080827037,37478.58060679589,25.18536520948571,0.3286074988189443,8210.237625167512,86.60765166781881
880.2170803657572,10342.510897320566,10.111535405401732,72728.53311878468,4297.288873065712,0.0,-2722.8810575382217,0.29605569650130986,0.00010912728080827037,37363.33804132424,25.040065472331282,0.3189133105603112,7212.504307309456,97.09763268746438
982.4790990281667,11364.841786780034,9.890715491837943,82821.34410173725,4212.080170444005,0.0,-2649.486171105098,0.30721527252790326,0.00010912728080827037,37328.55152242065,24.662221335055033,0.29953135426097643,6982.943696219015,100.37612508490075
982.4790990281667,11364.841786780034,9.890715491837943,82821.34410173725,4212.080170444005,0.0,-2649.486171105098,0.30721527252790326,0.00010912728080827037,37328.55152242065,24.662221335055033,0.29953135426097643,6982.943696219015,100.37612508490075
1260.883568775375,14060.087923499515,9.529992915948307,111987.28032109508,4040.0065311177564,0.0,-2497.5186499830857,0.33759679527628444,0.00010912728080827037,37238.59774668063,23.494532669046514,0.2390447171742566,6519.485413907643,109.18982365393869
