success,design_mass,burned_fuel,final_mass,flown_range,payload_total,run_id,cruise_alt,cruise_mach
true,66712.39108681766,21559.913398754412,45152.47768806325,3255.183907332779,5000.0,0,20000,0.5
true,71929.32216871982,21559.91339875442,50369.408769965405,3396.865600349565,10000.0,1,20000,0.5
true,77141.44634035435,21559.913398754397,55581.53294159994,3120.551337622955,15000.0,2,20000,0.5
true,66712.39108681682,21559.913398754397,45152.47768806169,3527.1928402475824,5000.0,3,25000,0.5
true,71929.32233823522,21559.91339875442,50369.408939480796,3368.4277879992233,10000.0,4,25000,0.5
true,77141.44634043497,21559.91339875431,55581.53294175145,3124.466869746802,15000.0,5,25000,0.5
true,66712.39108683908,21559.913398754383,45152.47768810366,3749.3721176492086,5000.0,6,30000,0.5
true,71929.32216835419,21559.91339875426,50369.40876927819,3608.575937983386,10000.0,7,30000,0.5
true,77141.44634031846,21559.913398754434,55581.532941532525,3219.021394641229,15000.0,8,30000,0.5
true,66712.39108681766,21559.91339875442,45152.477688063256,3007.88789725002,5000.0,9,20000,0.6
true,71929.32216871984,21559.91339875442,50369.40876996542,2930.179300459013,10000.0,10,20000,0.6
true,77141.4463403392,21559.913398754434,55581.532941571495,2800.8088535229554,15000.0,11,20000,0.6
false,66712.39108681603,21559.913398754405,45152.477688060186,3357.2940960699443,5000.0,12,25000,0.6
false,71929.32216847857,21559.91339875519,50369.40876951025,3242.0324437521695,10000.0,13,25000,0.6
true,77141.44634036461,21559.91339875439,55581.53294161921,3078.2278997510994,15000.0,14,25000,0.6
true,66712.3910868248,21559.91339875439,45152.47768807673,3709.9661969421036,5000.0,15,30000,0.6
true,71929.32216945455,21559.91339875321,50369.40877134923,3536.1695594178227,10000.0,16,30000,0.6
true,77141.44634035428,21559.913398754397,55581.53294159978,3323.7308230299254,15000.0,17,30000,0.6
true,66712.3910867598,21559.913398754885,45152.477687953375,2658.901758330719,5000.0,18,20000,0.7
true,71929.32216871982,21559.91339875442,50369.408769965405,2608.18530295832,10000.0,19,20000,0.7
true,77141.44634035433,21559.913398754405,55581.53294159993,2709.6625877495903,15000.0,20,20000,0.7
true,66712.39108681132,21559.913398754463,45152.47768805125,3023.6514848457364,5000.0,21,25000,0.7
true,71929.32216871984,21559.91339875442,50369.40876996542,2952.6257351324007,10000.0,22,25000,0.7
true,77141.44634035263,21559.913398754405,55581.53294159671,2849.6775016134393,15000.0,23,25000,0.7
false,66712.39108681915,21559.913398754412,45152.47768806606,3439.7788186923754,5000.0,24,30000,0.7
true,71929.32216863781,21559.91339875442,50369.4087698112,3327.854864688339,10000.0,25,30000,0.7
true,77141.44634043754,21559.913398754252,55581.53294175637,3189.3682941701227,15000.0,26,30000,0.7
