success,design_mass,burned_fuel,final_mass,flown_range,payload_total,case,fuel_burn_ratio_SAR,fuel_burn_ratio_ASA'
true,99416.5000223576,21070.380549426147,78346.11947293146,2725.5451421108282,8000.0,ASA',1.222332112171341,1.0
true,66533.61331452834,17237.85241311945,49295.760901408874,2704.918738211964,8000.0,SAR,1.0,0.8181082621020305
false,63617.154893021696,14446.507706504432,49170.64718651097,2691.488141974908,8000.0,SAR optimized,0.8380688823805817,0.6856310768861686
